review_title,ratings,review_comment,size,asin
Beautiful dresz,5.0,"I gifted to this my wife,nd she is very happy with fabric nd style..comfortable nd beautiful dress,very satisfied with purchase.....",no size,B09W1M56QT
Can wear as casual kurti too.,5.0,Cloth is soft and Can wear as casual kurti too.This is what I needed in a maternity year.,2XL,B09W1M56QT
Value of money,5.0,Premium quality fabric Soft and comfortable febricLook like a beautiful dress highly satisfied loved the beautiful dress with a decent colour,L,B09W1M56QT
Super,5.0,Totally loved the material. Its soft as feather and worth.,M,B09W1M56QT
Mind blowing 🥰 product,5.0,Mylo maternity floral gown 👗. Geometric print. The dress will be very cool for the journey. Easily u can feed ur baby 🍼 go for it guys 🙂,no size,B09W1M56QT
Perfect Gift For Every Girl. A dress so pretty can't be imagined. Just Amazing.,5.0,"The accuracy of the size was unbelievable. It just  fitted perfectly. Apart from that,the super soft quality of the cloth was above expectations.My aunt was extremely happy having this .Apart from its quality the design was so glorifing even better then it seems on the picture. Just Loved the product and soon going to purchase more.",2XL,B09W1M56QT
Good quality product,4.0,Value for moneyAs shown in descriptionUseful for pregnancy n postpartum period,L,B0BC14CTDW
Quality,4.0,"It looks good,but not durable,looks old one in some washes",M,B0BC14CTDW
Awesome,5.0,The product is good but the color of cloth is extremely dull n looks like old cloth but it’s design and the final look after wearing cloth is AWESOME 🥰,XL,B0BC14CTDW
Pretty for New Mothers,5.0,"Pleasantly recived my parcel, well covered in a box with a complimentary wet tissue packet.Its a cotton dress with zips placed well. Beautiful color and i loved it so much that i made it my homecoming dress after my delivery",L,B0BC14CTDW
Febric very good 👍,5.0,This product is very good,M,B0BC14CTDW
Unhappy. Faded completed after 1 wash,1.0,"I wish the seller sold good quality. At this price, after a single wash it looks like a faded old blanket. Highly disappointed",2XL,B0BC14CTDW
Smooth fabric,5.0,Must buy,XL,B0BC14CTDW
Worth the money,5.0,Purchased this dress recently and i loved the quality of it.Its  vrry comfortable plus the print pattern and colour is amazing.Moreover it comes with zipper on both sides which makes feeding super easy.... A must try dress🙂,L,B0BC14CTDW
Nice dress 👗,5.0,Mylo maternity kurti. Floral design soft material. Beautiful color. Thank you mylo go for it guys ❤,L,B0BC14CTDW
100 percent Pure cotton material 😘,5.0,gorgeous Mylo maternity gown 100 percent pure cotton with beautiful colour. Finishing is cool. There is a button in the center and both side zip will be invisible. thank u Mylo 😘,L,B0BC14CTDW
value for money,4.0,Material was good and comfortable too.,L,B0BQ4C9JP6
Ok ok product,3.0,At this price the product is okCan't expect moreBut the size was fitting well,XL,B0BQ4C9JP6
Good design but thin fabric,4.0,Good design but thin fabric,2XL,B0BQ4C9JP6
"Overall good, but fabric thin",4.0,"Kurti is good, color and print is awesome but fabric thin, if u r comfortable then go for it or you can wear inners",M,B0BQ4C9JP6
Good for price,4.0,Fabric is soft and color is same as shown in picture. It’s a full length maternity dress and would work great for summers.,L,B0BQ4C9JP6
Beautiful & comfortable dress for daily wear,4.0,stiching is not so  good,2XL,B0BQ4C9JP6
Transparent,2.0,"Cloth is very poor, very transparent however I liked the colour and design since it's very transparent, returning the product",M,B0BQ4C9JP6
Actual colour is different....it is not Rani pink...,3.0,Different colour  ..compare to the picture shown .,XL,B0BQ4C9JP6
Dress Material not up to mark,2.0,Very thin material,L,B0BQ4C9JP6
Good,3.0,Good,2XL,B0BQ4C9JP6
Nice fabric,4.0,Pretty dress,XL,B0BQ4C9JP6
Very good,5.0,At the price point quality very good,2XL,B0BQ4C9JP6
Fabric is good,5.0,Best choice of this dress during pregnancy and breastfeeding time,XL,B0BQ4C9JP6
Very poor stitching,2.0,Cloth and zips are good but stitches are very poor. Disappointed.,L,B0BQ4C9JP6
Poor quality. Fraud.,1.0,"The material is too bad, and the product has come without tag. And then image return is not accepted as tag is missing. The material quality is not as per the price",M,B0BQ4C9JP6
Average,2.0,Colour fades in a single wash...👎🏻  colour also not same...it looks little brighter in the image but it looks dull what I received !!,2XL,B0BQ4C9JP6
Quality okay but received diff colour,2.0,"Fit was good but stitches are not strong, alrdy had to restitch at some places. Received blue colour but ordered red colour.",2XL,B0BQ4C9JP6
Quality is low,2.0,Dress material is of very low quality,2XL,B0BQ4C9JP6
Waste,1.0,Low quality material. Got torn in many places after first wash itself.. couldn't use it,2XL,B0BQ4C9JP6
Good,5.0,Good,L,B0BQ4C9JP6
Love it,5.0,"Soft cotton, nice stitching, size fits perfectly. Thank you!",L,B0BQ4C9JP6
Quality,1.0,Low quality...,XL,B0BQ4C9JP6
Nice,5.0,Good product reasonable price.,M,B0BQ4C9JP6
Worst product,1.0,"Don’t buy this product. Worst quality, worst material, and I got missing parcel… company service is also worst…. Worst worst worst",XL,B0BQ4C9JP6
Poor quality,1.0,Cloth quality is too bad and transparent,XL,B0BQ4C9JP6
Cloth is not good.,2.0,Even colour is gone after one wash....too bad product. Cloth is very thin and not as shown in pictures. Totaly product is bakwas,L,B0BQ4C9JP6
Good fabric quality and comfortable,5.0,Dress is beautiful and comfortable.,M,B08KGGWXR6
Transpent,1.0,quality of cloth is not up to range,L,B08KGGWXR6
Good quality,5.0,"Cloth quality is good and colour is as shown in picture! It's bit loose & lengthy, so needs alteration.",M,B08KGGWXR6
Comfortable.. Good quality,5.0,Satisfied,2XL,B08KGGWXR6
Thin and cheap fabric,2.0,Fabric quality is cheap ..thin not worth to buy,XL,B08KGGWXR6
Waste of money .. light color. Transparent,2.0,Very transparent.. waste of money,M,B08KGGWXR6
"Awesome fabric, must buy product.",5.0,"Its my fav dress dress, got many compliments on this.",2XL,B08KGGWXR6
transparent dress,3.0,color and design is as shown in picture. fabric is good even after wash. but the dress is transparent. bit disappointed.,XL,B08KGGWXR6
Very nice,5.0,Nice color and good product 👍,M,B08KGGWXR6
Good for Mom,3.0,It’s nice product,no size,B08KGGXJMW
Nice dress but color doesnt stay,2.0,Pros:1. Size and fitting is appropriate to the size chart.2. Looks fine3. Cotton material and skin friendlyCons:1. Colour mixed up after first wash. Blue and yellow color stained the white part and had to return the item.,L,B08KGGXJMW
Not exactly what is shown,2.0,"The quality seems ok, degree of colour is different than shown.I found some stains on the cloth, didn't return it just because I waited 5 days for this to come and i couldn't wait another 5 for another product.",XL,B08KGGXJMW
Beautiful dress,5.0,Awesome dress as it is shown in the picture impressive thank you Amazon,L,B08KGGXJMW
Wrong size received,3.0,I ordered a Large but received a Medium one. It doesnt fit as comfortable as other dresses from the same brand but still a beautiful dress.,L,B08KGGXJMW
Good but colour leaks,3.0,Very nice product but after first wash the navy blue colour hot stained on the whole block portion hence this is now not wearable in public anymore,no size,B08KGGXJMW
Soft fabric,4.0,"The fabric is soft, the layering is doubled for non transparency (which is good). But, the colors bleed into each other. The center white part is not white anymore. So, I can't wear it to work now.",XL,B08KGGXJMW
Worth money,4.0,It's good,3XL,B08KGGXJMW
Small,3.0,Way smaller in length than expected. Further shrunk in the wash too,2XL,B08KGGXJMW
Doesn’t fit as per size,1.0,Not of good quality. Size also incorrect,2XL,B08KGGXJMW
The color bleeded after first wash and dress is looking old now ☹️,3.0,Overpriced dress,2XL,B08KGGXJMW
Feeling uncomfortable while feeding.,3.0,,XL,B08KGGXJMW
Nice,5.0,Comfortable to wear and looks good on baby bump.. Easy to breastfeed also,2XL,B08KGGXJMW
Waste of money,1.0,Color fainted after one wash... Spilled on white ... So it's looking dirty... Poor quality,XL,B08KGGXJMW
Worst dress,1.0,"The media could not be loaded.
                



 Colour shade after one wash waste of money buying this one.",no size,B08KGGXJMW
ok ok type,3.0,you need to wear some inner with this as the cloth is a bit thin. looks same as in pic. height of cloth is till mid thigh.ok ok type product.,3XL,B08KGGXJMW
Zip is too small,5.0,Zip is very small,3XL,B08KGGXJMW
Leaves color when washed,1.0,Bad quality color dye used as it leaves color,XL,B08KGGXJMW
Fading colour,3.0,The colour is fading away in just one wash,no size,B08KGGXJMW
High price,4.0,Price is bit High...rest all okay,L,B08KGGXJMW
Bad stiches...not a good purchase.. very sad with the product,2.0,Stiches coming out ..at one place it has little hole.. not happy with the product.,XL,B08KGGXJMW
Not good looking,1.0,Product is not looking good,2XL,B08KGGXJMW
Stitching,2.0,Stitches are coming out..and the product is a little tight and short.,2XL,B08KGGXJMW
Stitch was not correct the part where u put ur head through was really small.,1.0,I could not wear it because the space to put your head through was really small very disappointed,no size,B08KGGXJMW
Worst product...after first wash colour fades..the white part gets yellow colour,1.0,Quality of material is poor,L,B08KGGXJMW
"Neck is very tiny, head didnt even go in.",1.0,The dress looked great. But the neck was too small i couldn't even wear it. My head didnt go in at all.,XL,B08KGGXJMW
"Don't buy this, colour washed up,",1.0,"Worst dress I have ever bought, even after handwash colour washed up and spread all over the dress",L,B08KGGXJMW
Waste of money,1.0,Even after careful hand wash the blue color spread onto white. Couldn’t even wear it once. Total waste of money.,no size,B08KGGXJMW
Cheap,1.0,Just don't buy. Cheap material and cheap looking. Waste,no size,B08KGGXJMW
Length was too small,1.0,Too small,no size,B08KGGXJMW
Happy to purchase,5.0,Came on time. Happy for the purchase.  Would definitely recommend this seller.  Good quality. item is as per the description,L,B08KGGXJMW
Beutiful,5.0,"Amazing dress,look beautiful very comfortable.",2XL,B08KGGXJMW
Best,5.0,Beet,L,B08KGGXJMW
Super,5.0,Awesome dressMaterial is fantastic,2XL,B08KGGXJMW
Awesome buy,5.0,Awesome dress and superb fitting n looks beautiful😍,L,B0BG8QWQG6
Comfortable,5.0,Material is very comfortableI loved it,XL,B0BG8QWQG6
Great one,4.0,"Nice material and fits perfectly. Was worries about the colour, but after arriving, it's the same colour as shown in the image.The only drawback I found is, the stitching is not that perfect and we had to restich it in a nearby local tailor shop which costed 70 Rupees.Apart from that, it's a great & trustable product.",XL,B08ZLVMQMW
Good cloth. Comfortable.,4.0,Material is good. Looks good. Comfortable and easy to wear.,XL,B08ZLVMQMW
Good,4.0,Good,L,B08ZLVMQMW
Don't know about fading but fits for value in every aspect of material and quality.loved it.,4.0,Great product with good quality..color is beautiful....not washed yet so no idea about fading.,XL,B08ZLVMQMW
Leaves colour,3.0,"Leaves colour, but material quality is fine , recommend to get double  stretch",XL,B08ZLVMQMW
Breast feeding chain is not working.,2.0,"The media could not be loaded.
                



 Fabric is good but one side breast feeding chain is not working..",L,B08ZLVMQMW
Product not as per given in pics and also not having price tag,1.0,Product is different from shown in images..not having price tag.No less as shown in pics..quality is also not good,2XL,B08ZLVMQMW
Good,4.0,By mistake I had clicked for return. I want to cancel my return,XL,B09DPL5Q2H
It's very nice 🙂👍 & comfortable,5.0,Very comfortable ☺️,3XL,B09DPL5Q2H
Price is high for the material.  OK okish,2.0,I think 650-700 should be the price.See-through  materialOK. OKNot the great and best for the price okish,M,B09DPL5Q2H
Very nice,5.0,Very very beautiful 👌👌👌,XL,B09DPL5Q2H
Comfortable,5.0,Cotton and comfortable material.,L,B09DPL5Q2H
Medium quality,3.0,Comfort is great but not worth the pricing…the fabric is not too great for the money,no size,B09DPL5Q2H
Best one,3.0,Fit perfectly. Gud quality for this price,M,B09DPL5Q2H
Perfect outfit for feeding moms,5.0,"Fulfils your need, Perfect fit, very comfortable, looks good..haven’t washed it yet so cannot comment on that.. but overall it’s a very good buy. Will definitely recommend it.",M,B09DPL5Q2H
Comfortable,5.0,"Received as described. The fabric feels soft and good on the skin. fits perfectly well. It's very comfortable for nursing too. The front zips go all the way down until the yoke, so no hassle while nursing.The bow is a little short in length, so don't expect a fluffy bow.",2XL,B09DPL5Q2H
Awesome,5.0,"Good, and comfortable even after multiple washes. Does not strain. Loved it.",XL,B09DPL5Q2H
Same as picture,5.0,This is rayon fabric is soft and finishing is amazing. Must buy so much comfortable👍,L,B09DPL5Q2H
Good,3.0,Cloth is good but stiches are too weak. Better to give to tailor for double stitch as they are going after few washes.,XL,B09DPL5Q2H
Nice product,4.0,Nice dress & fitting,2XL,B09DPL5Q2H
Comfy. Value for money,5.0,Value for money. Good fit. Soft cloth,3XL,B09DPL5Q2H
Awesome,5.0,Awesome dress and fabric is too good full Paisa wasool.,no size,B09DPL5Q2H
Not a good product,2.0,"Don't buy not worth of 1100..waste of money,after wash dress become tight, it need ironing and which is nt possible for new mother to so it evwrytime u wash",M,B09DPL5Q2H
Very poor quality … not at all worth the money… please think twice before buying,1.0,It leaves colour … I got it in black and it’s quality is horrible … it’s transparent … fabric is very very bad … it’s not at all worth the money!!!!  Please give customers what they are paying for!!! It’s is hardly 200-300 Rupee dress and selling it for such high price!!! Bluffing customers !!!,2XL,B09DPL5Q2H
nice,5.0,very nice product..good fabric...chain etc..worth of money,M,B09DPL5Q2H
Bad product,1.0,Material is cheap compared to the price. Looks like roadside gowns. Not worth. Looks like wearing some outer cloth,M,B09DPL5Q2H
Poor quality,1.0,Not good quality product material is very bad  look like dusting cloth. Don't recommend at all. Don't purchase.very bad product,M,B09DPL5Q2H
Leave color while washing,1.0,Not worth to buy,XL,B09DPL5Q2H
Nice,5.0,Nice,M,B09DPL5Q2H
Good product,5.0,Quality of cloth is very good and fits perfectly 👍🏻,M,B09DPL5Q2H
A must buy product for all the mom's value for money.,5.0,The quality of the product is very good and comfortable. Suits me a lot. Colour does not fades even after several watches. Easy for mom's to feed their children in public. Value for money product a must buy.,2XL,B09DPL5Q2H
Affordable price,4.0,The feeding tops nice. Cotton material . Comfort to wear all season.,XS,B0BW5J47CG
Nice,4.0,Very good product. But it was too long for me as I'm bit short. Everything else is great.,M,B0BW5J47CG
Good quality,4.0,The product was as same as it is given in the pic. Very good quality and so soft and comfortable to wear.. a must try for the new moms,L,B0BW5J47CG
Ok good,4.0,Clothes is good but stitch is not good,XL,B0BW5J47CG
Very comfortable,4.0,Fabric is very good nice I love it,2XL,B0BW5J47CG
Soft material,4.0,Recommended,M,B0BW5J47CG
Ok product,3.0,"Ok product. Cotton wrinkles, using at home, can't guarantee the zip quality",XL,B0BW5J47CG
Superb quality and good fitting,5.0,Most valuable product. Good quality of material. Also very useful in day to day life.,L,B0BW5J47CG
Superb,5.0,Good quality worthy more than the money,L,B0BW5J47CG
Comfortable wear for new moms 👌🏻,4.0,Cloth quality was best....nice kurti for new mom...liked it,2XL,B0BW5J47CG
Ok ok,2.0,Not so good. The size was too big. The patter on the arms looks like as if its torn.,L,B0BW5J47CG
Good,5.0,Very nice and comfortable l fabric,L,B0BW5J47CG
Good fit,5.0,Good fit. Nice design,XL,B0BW5J47CG
Fabric colour,5.0,I liked the product very much. Would be Mommies go for it. Amazing clothing from jikonet.,XL,B0BW5J47CG
Worst products,1.0,Produce is of inferior quality Zip gets stuck and damaging the stitches. Product was not used not even once and it made me in an akward situation when I was travelling. Kindly do not purchase it. Also return window closed too early .,2XL,B0BW5J47CG
Soft and comfortable,5.0,Very nice and comfortable maternity and nursing wear. Very good quality. Ordering more,M,B0BW5J47CG
Not worth it,1.0,Print on the dress is up side down(reverse) 😞,S,B0BW5J47CG
Item missing,1.0,Received missing item,M,B0BW5J47CG
Quality is not good,1.0,Stitching is bad. Colours faded away just in a wash. Not recommended.,2XL,B0BW5J47CG
Good product,5.0,Good product but not rayon… it’s cotton type material… and its not soft type… its some linen type material.. ok,2XL,B0BW5J47CG
Superb,5.0,Really fantastic n superb quality must try once…. Cloth is great cotton quality….. must buy once…. Recommend for daily use,2XL,B0BW5J47CG
Nice product,4.0,Color and stuff is nice,M,B092DPYBB5
Good design but cloth quality not as expected,3.0,Good design but cloth quality not as expected.,no size,B092DPYBB5
Size is big,2.0,Size is bigger than expected,M,B092DPYBB5
Size too small and material quality poor,1.0,Bas cloth quality,M,B092DPYBB5
Superb,5.0,Quality is great . Excellent fabric for this price .. perfect for maternity shoot . It's very decent and elegant ..,no size,B08FBLT21J
Not value for money,2.0,Worst one.. not value for money,no size,B08FBLT21J
Good product,5.0,"Very much comfortable, after 5 6 wash it becomes dull",no size,B08FBLT21J
Comfortable outdoor maternity dress.,4.0,The product is true to it's description on site. The material is soft and fitting is perfect. Looks stylish when worn.,no size,B08FBLT21J
Color  differs,3.0,"The material is of good quality, though the product differs in color as per the photo. The product delivered is  not peach though a dark pink",XL,B08FBLT21J
Good,4.0,Best choice for moms. Very comfortable,no size,B08FBLT21J
Good product,5.0,Very comfortable. Very well crafted. Zips are good.,no size,B08FBLT21J
Value for money,4.0,Good colour and quality. Very comfortable. Good fit. But need iron always before wearing.,M,B08FBLT21J
Good,4.0,It is not peach colour but like reddish pink. It's neither cotton nor rayon. It's not bright as in picture. Little dull. But looks very beautiful.,L,B08FBLT21J
Awesome colour,4.0,Very nice and smooth fabric,no size,B08FBLT21J
Nice product,4.0,Fit perfectly,no size,B08FBLT21J
Not bad ok,3.0,Not bad ok,no size,B08FBLT21J
Very much transparency poor inside lining used,2.0,"This one is very elegant looks and very soft very good for mother’s, it’s a very good baptism dress code , I appreciate the seller and Amzon for such good collection, but please make pure white colour also",no size,B08FBLT21J
Good colour and quality,5.0,The product looks just as shown in the pic. It is a bit larger than expected but the sash at the back helps. Overall good.,no size,B08FBLT21J
Must buy for feeding Moms!,5.0,I loved the quality and comfort of the dress. It’s so soft. I just loved it,no size,B08FBLT21J
Good quality product,5.0,"I would recommend this product. The quality, design and fitting is as expected.",2XL,B08FBLT21J
Not worth,3.0,"Not worth for money, and transparent also",no size,B08FBLT21J
"Ordered the peach colour, but received the blue colour",2.0,"I ordered the peach coloured dress, but received the blue coloured one. Other than the colour mix-up, overall an OK but slightly expensive option...",L,B08FBLT21J
Colour bleeds,3.0,Colour bleeds after first wash,no size,B08FBLT21J
Peach XL,5.0,Nice dress exactly as shown in the picture loved it,XL,B08FBLT21J
Great Purchase !!!,5.0,Happy with the product. Soft material and great. It's not transparent as mentioned in some reviews.,2XL,B08FBLT21J
Nice products,5.0,Very good products  value of products,no size,B08FBLT21J
Very gud product 😍really very nice,5.0,I really like,no size,B08FBLT21J
Convenience with style.,5.0,Good design with very good cotton.,no size,B08FBLT21J
Very good quality,5.0,Comfortable n proper fit,2XL,B08FBLT21J
Cloth quality,2.0,Quality of cloth is not good.,2XL,B08FBLT21J
Not worthful.,1.0,The size is too large more than XL. And it is transperant due to low quality cloth. Not worthful for 999/- rupees.,no size,B08FBLT21J
Don't buy white colour. It is too transparent so only 1 star.,1.0,Product is good but lying in my cupboard coz of transperancy.,no size,B08FBLT21J
Nice fabric but I ordered pitch colour and got navey blue,1.0,Ok,M,B08FBLT21J
Too transparent,1.0,Not good quality material,no size,B08FBLT21J
Perfect for pregnancy and feeding purpose,5.0,Bought this dress while being 5 months pregnant and using it even post delivery. Can wear it for going out as well. Can feed my baby anywhere with comfort. Dress is good looking and doesn't leave color at all.Review after using it for few months.,2XL,B08FBLT21J
Good one,5.0,Good one. Worth buying it mom's. Only one problem we don't get it in smaller sizes. Starting size is 40.,no size,B08FBLT21J
Nice one,4.0,Nice embroidery work... Little transparent.,no size,B08FBLT21J
Nice product in good price,4.0,Perfect fit,2XL,B08FBLT21J
Good material and quality,5.0,I had ordered a bigger size keeping in mind that I want to use it for longer duration. Quality is good and material is soft.,M,B08FBLT21J
Damaged material,4.0,Same as shown in picture but material was little damaged,L,B0BFRFM9X3
sleeves,4.0,The quality is good but it doesn't come with puffy sleeves like it showed in the picture!,M,B0BFRFM9X3
Good,4.0,Material quality is okay. No complaints,M,B0BFRFM9X3
Comfy fabric,4.0,Beautiful dress,XL,B0BFRFM9X3
Not cotton,3.0,Everything look wise is okBut it's not cottonIt's mixed cloth.  SellerShould mention what exactly the fabric is. Price is high as per fabric. Rest it looks good and has zip helpful for feeding moms,L,B0BFRFM9X3
Size is not correct,3.0,"I ordered XXL size which is claiming 44 bust but it can fit to only 38 or max 40 bust size, don’t know it size may reduce after wash, length is till ankle for me, I am 5.3 feet. Quality is ok not very good not bad, I liked the dress, not transparent",2XL,B0BFRFM9X3
Nice dress,4.0,Material and quality is very good but if it had tieng around waist means it was a perfect fit post delivery,2XL,B0BFRFM9X3
Product has come with out tag,3.0,"The media could not be loaded.
                



 Product has delivered without tag like this shown in picture",2XL,B0BFRFM9X3
Liked it,5.0,Very beautiful 👗 👍👍,XL,B0BFRFM9X3
Left colour after first wash,3.0,It's leaving colour after washing,M,B0BFRFM9X3
Very happy,5.0,Very happy,XL,B0BFRFM9X3
Good,5.0,Excellent quality..,L,B0BFRFM9X3
Worth,5.0,"Nice and as expected ,good thing is has long zip which helps open completely which is comfortable during feeding",M,B0BFRFM9X3
Material is so good,5.0,Product is as expected.,L,B0BFRFM9X3
Nice,3.0,Overall good product but I m littel bit of dispoint beacuase dress colour is different not same as shown in this picture received colour is nevi blue not sky blue,L,B0BFRFM9X3
Cotton cloth,4.0,Cloth is cotton not Rayon. Slightly rough cloth. Elastic near elbows is tight.,L,B0BFRFM9X3
Nice,4.0,Nice .must buy,M,B0BFRFM9X3
Sleeves too tight,3.0,The elastic sleeves are too tight. Otherwise good. The body size is as expected.,M,B0BFRFM9X3
Good!,4.0,It was good.Fitting i bought one size larger so obviously it was big. But i didn't it expect it to be this big ..even then the hand is tight and it's transparent.Overall it's comfortable,M,B0BFRFM9X3
Fitted as expected,4.0,Happy with the product.. hoping it will not shrink after wash... material is thin cotton...so gentle wash is required.,2XL,B0BFRFM9X3
Good,4.0,Very good for pregnancy time. Cotton fabric,2XL,B0BFRFM9X3
Color and quality,5.0,Color is exactly as shown in the image and the quality of the product is too good.,L,B0BFRFM9X3
Quality is average!,3.0,The quality of the clothe is not up to the mark,XL,B0BFRFM9X3
Don't buy,1.0,Very bad quality and the color is also spread out. Returned it the moment I saw it.,3XL,B0BFRFM9X3
Nice product but without price tag,4.0,"Hi all, before unpacking the product please take video because there is no price tag attached with product. It's very difficult to exchange or return the product without price tag.",M,B0BFRFM9X3
Fitting not good,1.0,Too loose on waist,L,B0BFRFM9X3
Comfortable and light to wear. Product as expected,5.0,Comfortable and light to wear. Product as expected,XL,B0BFRFM9X3
Good product,5.0,Fits perfectly fabric little thicker quality is good,M,B0BFRFM9X3
"Good febric comfortable to wear, but leaves colour",4.0,"The media could not be loaded.
                



 Soft material, comfortable to wear in Summers but leaves some colour in every wash...... Good covrage of flare...",M,B0BFRFM9X3
Damaged.. Hole and rust mark.. I did for wear the product,2.0,Damaged product need a refund... Had Applied for replacement but the service is very bad,XL,B0BFRFM9X3
Sleeve size is too small.. very tight elastic not as per 38 Medium size,3.0,Overall material seems to be good.  Can ensure only after a wash.  Sleeve size is too small.. very tight elastic not as per 38 Medium size...i have to get it enlarged now,M,B0BFRFM9X3
Not a feeding kurti!,3.0,It's just a maternity wear and not feeding kurti,M,B0BFRFM9X3
Best product,5.0,"Just loved the quality of the product, perfect length, very comfortable @ best price. You can just go for it",L,B0BFRFM9X3
Worth the price,4.0,It’s worth a buy,2XL,B0BFRFM9X3
Super confortable and quality cloth,5.0,Super confortable and quality cloth,XL,B0BFRFM9X3
Good product,3.0,Not used regularly but product feels good,L,B0BFRFM9X3
Great product at great price,4.0,Comfortable cotton fabric,M,B0BFRFM9X3
Super quality,5.0,I like it.,2XL,B0BFRFM9X3
Perfect,5.0,"Initially I had my doubts. But after purchasing, the product was awesome. Light weight, not transparent, flowy.. full ankle length top so no need to bother wearing a pant. No skin irritation or heat. More space in the baby bump area. I ordered 2XL, Very loose as expected. So more space for air passage.Highly recommended.",2XL,B0BFRFM9X3
This is beautiful karti with perfect fitting and looks beautiful even with baby bump.,5.0,,XL,B0BFRFM9X3
Too large,2.0,Colour fades after wash,L,B0BFRFM9X3
"Worst product, did not get my refund even after a month",1.0,"Worst seller, never experienced this behaviour before on Amazon",M,B0BFRFM9X3
Nice dress,5.0,Quality is good,L,B0BFRFM9X3
Good,5.0,"Though it comes without a zipper, I would recommend good stuf",L,B0BFRFM9X3
Very good product.  Fully satisfied,5.0,Material good cotton.love it.,L,B0BFRFM9X3
Good,5.0,Over-all it is good product,L,B0BFRFM9X3
Don’t buy,1.0,Colour fading,3XL,B0BFRFM9X3
Good product,5.0,Pure cotten dress. Good product for maternity.But don't have chains.,2XL,B0BFRFM9X3
Beautiful product,5.0,Nice material and very comfortable to wear. Worth the cost.,XL,B0BFRFM9X3
Worth It Nice fabric,5.0,Fabric was nice but little loose,M,B0BFRFM9X3
Perfect .......as expected,5.0,,2XL,B0BFRFM9X3
"totally wastage of money, fabric is very bad , cut long cut in kurti",1.0,"Dont like,wastage of money, dont buy.",XL,B0BFRFM9X3
Fading color,1.0,Color fades from clothe when put to wash....,M,B0BFRFM9X3
Kurta received without label,1.0,"The media could not be loaded.
                



 I have received this without label",2XL,B0BFRFM9X3
